latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,sensor,brightness,bright_t31,province
0.03978,117.42007,336.68,0.38,0.36,2026-01-05,539,N,VIIRS,n,2.0,274.83,3.75,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.71054,117.05026,333.29,0.39,0.36,2026-01-05,539,N,VIIRS,n,2.0,284.26,3.51,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.72472,117.07639,329.27,0.38,0.36,2026-01-05,539,N,VIIRS,n,2.0,284.79,2.62,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.72652,117.19962,338.34,0.38,0.36,2026-01-05,539,N,VIIRS,n,2.0,284.0,4.93,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.79898,117.01131,337.19,0.39,0.36,2026-01-05,540,N,VIIRS,n,2.0,281.34,3.16,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
2.01983,117.0566,331.85,0.38,0.36,2026-01-05,540,N,VIIRS,n,2.0,275.51,1.76,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
3.27788,113.06308,335.25,0.5,0.41,2026-01-05,540,N,VIIRS,n,2.0,284.57,17.96,D,2,VIIRS_SNPP_SP,,,Malaysia/Brunei (Borneo)
-0.26397,109.50056,332.39,0.59,0.53,2026-01-07,642,N,VIIRS,n,2.0,290.8,4.54,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-0.21732,109.23276,331.83,0.57,0.52,2026-01-07,642,N,VIIRS,n,2.0,291.77,4.18,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-0.2166,109.23572,329.55,0.57,0.52,2026-01-07,642,N,VIIRS,n,2.0,291.94,4.59,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.80242,109.16681,338.97,0.58,0.52,2026-01-07,643,N,VIIRS,n,2.0,286.55,7.06,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-3.84336,115.25618,307.88,0.39,0.36,2026-01-07,1744,N,VIIRS,n,2.0,284.94,1.1,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.896,115.8665,,1.1,1.0,2026-01-08,718,Aqua,MODIS,63,61.03,,8.5,D,2,MODIS_SP,309.4,283.6,Kalimantan Selatan
2.27225,117.83894,319.42,0.36,0.57,2026-01-09,1704,N,VIIRS,n,2.0,280.46,1.08,N,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.27274,117.83568,299.89,0.36,0.57,2026-01-09,1704,N,VIIRS,n,2.0,280.6,1.08,N,0,VIIRS_SNPP_SP,,,Kalimantan Utara
-3.76222,115.43443,330.02,0.47,0.4,2026-01-09,604,N,VIIRS,n,2.0,291.97,5.15,D,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
2.2222,117.8363,,1.5,1.2,2026-01-10,657,Aqua,MODIS,66,61.03,,10.6,D,0,MODIS_SP,312.0,293.5,Kalimantan Utara
3.60678,112.4113,320.56,0.45,0.47,2026-01-10,1826,N,VIIRS,n,2.0,269.47,3.26,N,3,VIIRS_SNPP_SP,,,Malaysia/Brunei (Borneo)
2.32521,117.9902,331.23,0.43,0.38,2026-01-10,546,N,VIIRS,n,2.0,294.07,2.38,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.27039,117.83974,338.63,0.43,0.38,2026-01-10,546,N,VIIRS,n,2.0,299.06,4.97,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.22043,117.8709,340.12,0.43,0.38,2026-01-10,546,N,VIIRS,n,2.0,297.83,5.62,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
0.71109,117.05271,329.21,0.4,0.37,2026-01-10,546,N,VIIRS,n,2.0,290.76,1.87,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.68419,117.56131,330.25,0.41,0.37,2026-01-10,546,N,VIIRS,n,2.0,291.02,4.14,D,2,VIIRS_SNPP_SP,,,Kalimantan Timur
2.27388,117.8392,338.91,0.43,0.38,2026-01-10,546,N,VIIRS,n,2.0,299.34,6.92,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
0.53039,117.28499,343.4,0.4,0.37,2026-01-10,546,N,VIIRS,n,2.0,286.71,4.21,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.25349,116.42865,340.65,0.39,0.36,2026-01-10,546,N,VIIRS,n,2.0,290.98,3.76,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-0.08689,116.16761,331.26,0.38,0.36,2026-01-10,546,N,VIIRS,n,2.0,292.79,2.55,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.90646,113.24345,332.23,0.46,0.39,2026-01-10,545,N,VIIRS,n,2.0,289.45,1.52,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-0.35075,116.2795,331.83,0.38,0.36,2026-01-10,546,N,VIIRS,n,2.0,291.85,2.21,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-0.91455,114.6728,339.34,0.4,0.37,2026-01-10,546,N,VIIRS,n,2.0,287.73,4.92,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.90253,113.49143,325.75,0.45,0.39,2026-01-10,545,N,VIIRS,n,2.0,291.2,2.63,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
0.65077,117.10905,338.25,0.4,0.37,2026-01-10,546,N,VIIRS,n,2.0,293.46,16.28,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
0.0988,117.47898,315.72,0.53,0.5,2026-01-11,1808,N,VIIRS,n,2.0,275.17,1.43,N,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-0.85567,117.18359,305.49,0.52,0.5,2026-01-11,1808,N,VIIRS,n,2.0,280.16,0.67,N,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.2425,116.82171,295.67,0.5,0.49,2026-01-11,1808,N,VIIRS,n,2.0,270.99,1.66,N,0,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.24671,116.81465,306.1,0.5,0.49,2026-01-11,1808,N,VIIRS,n,2.0,270.7,1.94,N,3,VIIRS_SNPP_SP,,,Kalimantan Timur
0.09416,117.47824,316.53,0.53,0.5,2026-01-11,1808,N,VIIRS,n,2.0,274.8,1.43,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.07523,110.34432,330.27,0.56,0.43,2026-01-12,1749,N,VIIRS,n,2.0,282.0,3.96,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-1.91151,111.50516,296.2,0.47,0.4,2026-01-12,1750,N,VIIRS,n,2.0,275.74,0.49,N,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-3.02488,113.75553,304.06,0.39,0.36,2026-01-12,1750,N,VIIRS,n,2.0,283.03,0.52,N,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.0746,110.34761,330.27,0.56,0.43,2026-01-12,1749,N,VIIRS,n,2.0,282.65,5.33,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-1.24748,116.8129,322.31,0.41,0.37,2026-01-12,1749,N,VIIRS,n,2.0,290.41,2.56,N,3,VIIRS_SNPP_SP,,,Kalimantan Timur
0.71049,109.51331,329.96,0.39,0.6,2026-01-12,649,N,VIIRS,n,2.0,285.34,5.5,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
3.60651,112.41124,303.38,0.49,0.4,2026-01-12,1748,N,VIIRS,n,2.0,262.15,1.23,N,3,VIIRS_SNPP_SP,,,Malaysia/Brunei (Borneo)
-1.32952,113.96811,295.96,0.39,0.36,2026-01-12,1749,N,VIIRS,n,2.0,269.48,0.38,N,2,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.85035,111.77579,335.91,0.51,0.66,2026-01-12,648,N,VIIRS,n,2.0,289.64,3.98,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-2.34487,110.75919,353.48,0.43,0.62,2026-01-12,648,N,VIIRS,n,2.0,286.59,8.36,D,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
0.99798,109.73669,330.31,0.41,0.61,2026-01-12,649,N,VIIRS,n,2.0,293.72,1.84,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
0.68859,109.69289,332.82,0.4,0.6,2026-01-12,649,N,VIIRS,n,2.0,292.47,2.89,D,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-1.9935,119.3821,,1.0,1.0,2026-01-13,713,Aqua,MODIS,65,61.03,,4.7,D,0,MODIS_SP,307.8,291.4,Kalimantan Timur
-1.89785,115.8676,309.71,0.49,0.4,2026-01-13,1731,N,VIIRS,n,2.0,289.29,2.88,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89412,115.86818,318.19,0.49,0.4,2026-01-13,1731,N,VIIRS,n,2.0,289.72,2.88,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.89342,115.86376,330.92,0.49,0.4,2026-01-13,1731,N,VIIRS,n,2.0,290.54,2.88,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.88969,115.86436,322.35,0.49,0.4,2026-01-13,1731,N,VIIRS,n,2.0,289.8,2.44,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.5191,114.39319,302.74,0.4,0.45,2026-01-13,1731,N,VIIRS,n,2.0,284.14,0.59,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.515,114.39384,307.58,0.4,0.45,2026-01-13,1731,N,VIIRS,n,2.0,284.39,0.73,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
-1.29958,113.39081,312.15,0.47,0.48,2026-01-13,1731,N,VIIRS,n,2.0,286.88,1.21,N,0,VIIRS_SNPP_SP,,,Kalimantan Tengah
-1.8954,115.8581,,1.0,1.0,2026-01-13,122,Terra,MODIS,40,61.03,,4.0,D,2,MODIS_SP,305.0,283.9,Kalimantan Selatan
-2.21309,115.4972,310.64,0.51,0.41,2026-01-13,1731,N,VIIRS,n,2.0,286.88,1.84,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
1.5624,117.1708,,1.0,1.0,2026-01-13,714,Aqua,MODIS,52,61.03,,6.1,D,0,MODIS_SP,304.2,279.2,Kalimantan Timur
-0.2614,117.2122,,1.0,1.0,2026-01-13,713,Aqua,MODIS,62,61.03,,5.8,D,0,MODIS_SP,310.8,291.2,Kalimantan Timur
-0.4164,116.8545,,1.1,1.0,2026-01-13,713,Aqua,MODIS,72,61.03,,10.5,D,0,MODIS_SP,316.8,293.8,Kalimantan Timur
